Timestamp|Severidad|Componente|Mensaje|ID_Transaccion
2025-10-25 09:00:00|ALTA|DB_SQL|Fallo de conexion al servidor 10.0.0.5|T001
2025-10-25 09:00:15|BAJA|API_Gateway|Solicitud GET /info exitosa|T002
2025-10-25 09:00:30|MEDIA|Web_Server|Tiempo de respuesta lento (3s)|T003
2025-10-25 09:01:00|ALTA|Auth_Service|Autenticacion fallida por token expirado|T004
2025-10-25 09:01:15|BAJA|DB_SQL|Transaccion completada OK|T005
2025-10-25 09:01:30|MEDIA|API_Gateway|Reintento de conexion exitoso|T006
2025-10-25 09:02:00|ALTA|DB_SQL|Bloqueo detectado en tabla 'Ventas'|T007
2025-10-25 09:02:15|BAJA|Web_Server|Carga de página de inicio|T008
2025-10-25 09:02:30|MEDIA|Auth_Service|Validacion de certificado proxima a vencer|T009
2025-10-25 09:03:00|ALTA|Web_Server|Error 500 interno: Fallo critico|T010
2025-10-25 09:03:15|BAJA|DB_SQL|Transaccion completada OK|T011
2025-10-25 09:03:30|MEDIA|API_Gateway|Reintento de conexion exitoso|T012
2025-10-25 09:04:00|ALTA|DB_SQL|Fallo de conexion al servidor 10.0.0.5|T013
2025-10-25 09:04:15|BAJA|API_Gateway|Solicitud GET /info exitosa|T014
2025-10-25 09:04:30|MEDIA|Web_Server|Tiempo de respuesta lento (3s)|T015
2025-10-25 09:05:00|ALTA|Auth_Service|Autenticacion fallida por token expirado|T016
2025-10-25 09:05:15|BAJA|DB_SQL|Transaccion completada OK|T017
2025-10-25 09:05:30|MEDIA|API_Gateway|Reintento de conexion exitoso|T018
2025-10-25 09:06:00|ALTA|DB_SQL|Bloqueo detectado en tabla 'Ventas'|T019
2025-10-25 09:06:15|BAJA|Web_Server|Carga de página de inicio|T020
2025-10-25 09:06:30|MEDIA|Auth_Service|Validacion de certificado proxima a vencer|T021
2025-10-25 09:07:00|ALTA|Web_Server|Error 500 interno: Fallo critico|T022
2025-10-25 09:07:15|BAJA|DB_SQL|Transaccion completada OK|T023
2025-10-25 09:07:30|MEDIA|API_Gateway|Reintento de conexion exitoso|T024
